Model,RMSE,MAE,RÂ²,MAPE (%)
Gradient Boosting,1.0312129369155574,0.7133697702918146,0.9103720576625348,3.2077095819931727
Ridge Regression,1.046577589776538,0.7211542480941228,0.9076813207600635,3.1937149948362347
Linear Regression,1.0467749128143855,0.7214055800516957,0.9076465057215874,3.194277442084174
ElasticNet,1.0554836172363158,0.7048150727448189,0.9061034329976931,3.168163952893311
Lasso Regression,1.0964813226567118,0.7319006063876469,0.8986673973574214,3.3031029081375984
Random Forest,1.098601889932947,0.7348515732054284,0.8982750689419603,3.324098764305268
Last Value Baseline,1.17243481753168,0.7961224489795918,0.8841425048477396,3.5979613875732994
Decision Tree,1.335792985875447,0.9305493522530627,0.8496078950399983,4.220102080648832
Mean Baseline,3.874463334477277,2.593917705712421,-0.26523102058934356,12.889182446899095
